crab_year,IOPAC,species_group_2_label2,SPGRPN2,num_vessels,total_rev,total_pounds
2020,Fort Bragg,Salmon,30,150,3709224.702297258,587128
2020,Fort Bragg,Skate/dogfish/shark,19,5,2850.46,10948.5
2020,Fort Bragg,Tuna,35,3,6233.5,2523.4
2021,Fort Bragg,Coastal pelagics,45,5,173.5,131.25
2021,Fort Bragg,Crab,25,25,1094992.4428571428,219453
2021,Fort Bragg,DTS groundfish,1,33,1038021.9587777777,1226165.54
2021,Fort Bragg,Non-DTS groundfish,3,29,1757190.4625,2371189.53
2021,Fort Bragg,Other,80,10,1972.702421052632,2489.1
2021,Fort Bragg,Salmon,30,106,1450405.1208057143,236882.15
2021,Fort Bragg,Skate/dogfish/shark,19,8,5314.257291666667,24991.2
2021,Fort Bragg,Tuna,35,11,35375.45,11297.85
2022,Fort Bragg,Crab,25,27,1583705.32,604296.54
2022,Fort Bragg,DTS groundfish,1,31,744222.737070707,900081.38
2022,Fort Bragg,Non-DTS groundfish,3,23,1911002.5193833807,2363438.32
2022,Fort Bragg,Other,80,10,544.905,1268.9
2022,Fort Bragg,Salmon,30,4,16.6,1081
2022,Fort Bragg,Skate/dogfish/shark,19,7,4384.13,19410.5
2022,Fort Bragg,Tuna,35,8,54314.65,20594.4
2022,Fort Bragg,Whiting,2,4,1.2,151
2017,Los Angeles,Coastal pelagics,45,3,15132.95,54105
2017,Los Angeles,Squid,70,5,608510,1217020
2018,Los Angeles,Coastal pelagics,45,3,36428.85,242859
2018,Los Angeles,Other,80,3,28538.6,18038
2018,Los Angeles,Squid,70,6,673824,1353828
2018,Los Angeles,Tuna,35,3,38108.6,80400
2019,Los Angeles,Squid,70,4,337815.5,675631
2020,Los Angeles,Coastal pelagics,45,3,2255.2506,6498
2020,Los Angeles,Squid,70,6,179286.6,298811
2021,Los Angeles,Squid,70,6,762450.225,1270199
2022,Los Angeles,Squid,70,6,1517884.2,2529807
2017,Monterey,CA halibut/croaker,55,52,134361.3,23047.74
2017,Monterey,Coastal pelagics,45,6,157467.15,3130159.8
2017,Monterey,Crab,25,26,824844.714,205621.34
2017,Monterey,DTS groundfish,1,65,214082.454,206281.89
2017,Monterey,Non-DTS groundfish,3,58,89145.8496,20365.1
2017,Monterey,Other,80,26,46744.627,24803.9
2017,Monterey,Salmon,30,153,1301649.743,137426.78
2017,Monterey,Skate/dogfish/shark,19,4,824.35,3162.9
2017,Monterey,Squid,70,11,2840089.51,5973879
2018,Monterey,CA halibut/croaker,55,70,166773.965,30104.41
2018,Monterey,Coastal pelagics,45,52,77937.5886,1328813.41
2018,Monterey,Crab,25,35,669801.705,161080.02
2018,Monterey,DTS groundfish,1,85,134389.195,47893.41
2018,Monterey,Non-DTS groundfish,3,71,87339.337,22127.74
2018,Monterey,Other,80,30,46388.465,15851.77
2018,Monterey,Salmon,30,205,3081062.9098,468410.11
2018,Monterey,Skate/dogfish/shark,19,4,1065.25,3981
2018,Monterey,Squid,70,15,1061342.15,2153389.6
2018,Monterey,Tuna,35,5,13741.3,7759.7
2019,Monterey,CA halibut/croaker,55,71,278222.56076666666,53631.81
2019,Monterey,Coastal pelagics,45,56,95483.2744309469,371810.39
2019,Monterey,Crab,25,30,900438.378,253704.52
2019,Monterey,DTS groundfish,1,56,138321.8808,91256.94
2019,Monterey,Non-DTS groundfish,3,68,46432.86773802087,12785.05
2019,Monterey,Other,80,22,13585.5875,3207.3
2019,Monterey,Salmon,30,196,2194688.21299048,326255.39
2019,Monterey,Skate/dogfish/shark,19,4,1049.454,6614.35
2019,Monterey,Squid,70,20,4827225.0063529415,8071233.14
2019,Monterey,Tuna,35,6,17751.5,7428.2
2020,Monterey,CA halibut/croaker,55,57,196152.61980357143,37380.75
2020,Monterey,Coastal pelagics,45,16,20211.49642857143,84525.75
2020,Monterey,Crab,25,24,946457.8084523809,162204.72
2020,Monterey,DTS groundfish,1,45,281944.88151,164954.90237
2020,Monterey,Non-DTS groundfish,3,59,46637.30869,13483.14763
2020,Monterey,Other,80,13,5544.7,900.2
2020,Monterey,Salmon,30,222,3292108.4964960315,338814.19
2020,Monterey,Skate/dogfish/shark,19,5,1756.5,7586
2020,Monterey,Squid,70,16,8406295.8,14010527
2020,Monterey,Tuna,35,12,57309.495,11162.289999999999
2021,Monterey,CA halibut/croaker,55,54,197544.565,36961.73
2021,Monterey,Coastal pelagics,45,15,3999.081,5287.8
2021,Monterey,Crab,25,30,854271.015,154344.3
2021,Monterey,DTS groundfish,1,39,307402.1225,124641.0377
2021,Monterey,Non-DTS groundfish,3,51,184456.47057142857,149005.9123
2021,Monterey,Other,80,15,5661.723,4535
2021,Monterey,Salmon,30,231,4215453.035301282,507470.93
2021,Monterey,Skate/dogfish/shark,19,5,2692.22,12909
2021,Monterey,Squid,70,8,824499.5,1373973
2021,Monterey,Tuna,35,22,92871.72,30053.85
2021,Monterey,Whiting,2,3,0.5,587
2022,Monterey,CA halibut/croaker,55,36,306522.4275,61113.14
2022,Monterey,Coastal pelagics,45,13,4782.756666666667,1405.3
2022,Monterey,Crab,25,20,526762.8374,162840.62
2022,Monterey,DTS groundfish,1,37,691794.0594654061,491491.022
