"Port Group","Year","Edge Density","dataset"
"Puget Sound",2018,0.222222222222222,"Network_Stats"
"North WA Coast",2018,0.333333333333333,"Network_Stats"
"WA Coast",2018,0.678571428571429,"Network_Stats"
"Astoria",2018,0.809523809523809,"Network_Stats"
"Tillamook",2018,0.6,"Network_Stats"
"Columbia River",2018,1,"Network_Stats"
"Newport",2018,0.928571428571429,"Network_Stats"
"Coos Bay",2018,0.535714285714286,"Network_Stats"
"Brookings",2018,0.8,"Network_Stats"
"Crescent City",2018,0.5,"Network_Stats"
"Eureka",2018,0.464285714285714,"Network_Stats"
"Morro Bay",2018,0.5,"Network_Stats"
"Fort Bragg",2018,0.714285714285714,"Network_Stats"
"Bodega Bay",2018,1,"Network_Stats"
"San Francisco",2018,0.583333333333333,"Network_Stats"
"San Diego",2018,0.571428571428571,"Network_Stats"
"Monterey",2018,0.619047619047619,"Network_Stats"
"Santa Barbara",2018,0.857142857142857,"Network_Stats"
"Los Angeles",2018,0.690909090909091,"Network_Stats"
"Unknown Ports",2018,0.178571428571429,"Network_Stats"
"Puget Sound",2019,0.285714285714286,"Network_Stats"
"North WA Coast",2019,0.4,"Network_Stats"
"WA Coast",2019,0.666666666666667,"Network_Stats"
"Astoria",2019,0.666666666666667,"Network_Stats"
"Tillamook",2019,0.4,"Network_Stats"
"Columbia River",2019,NA,"Network_Stats"
"Newport",2019,0.809523809523809,"Network_Stats"
"Coos Bay",2019,0.857142857142857,"Network_Stats"
"Brookings",2019,0.533333333333333,"Network_Stats"
"Crescent City",2019,0.666666666666667,"Network_Stats"
"Eureka",2019,0.666666666666667,"Network_Stats"
"Morro Bay",2019,0.527777777777778,"Network_Stats"
"Fort Bragg",2019,0.733333333333333,"Network_Stats"
"Bodega Bay",2019,0.476190476190476,"Network_Stats"
"San Francisco",2019,0.678571428571429,"Network_Stats"
"San Diego",2019,0.821428571428571,"Network_Stats"
"Monterey",2019,0.619047619047619,"Network_Stats"
"Santa Barbara",2019,0.857142857142857,"Network_Stats"
